name,positionangle,separation,binaries,planets,stars
16 Cygni,133.30,39.56,1.0,1.0,3.0
16 Cygni AC,209,3.4,0.0,0.0,2.0
2M0441+2301,237.3,12.37,1.0,1.0,3.0
2M 044145,79.61,0.2323,0.0,0.0,2.0
2M 1938+4603,,,0.0,1.0,2.0
2MASS J02495639-0557352,233.1,2.17,0.0,1.0,2.0
30 Ari,275,38.00,2.0,1.0,4.0
30 Ari A,,,0.0,0.0,2.0
30 Ari BC,285.2,0.536,0.0,1.0,2.0
WDS J04376-0228,163,66.70,1.0,1.0,3.0
GJ 3305,,,0.0,0.0,2.0
55 Cancri,130,84,0.0,5.0,2.0
,,,0.0,0.0,2.0
83 Leonis,150,28.6,0.0,2.0,2.0
91 Aquarii,313,49.4,1.0,1.0,3.0
91 Aquarii BC,,,0.0,0.0,2.0
alf Tau AB,113,31.60,0.0,1.0,2.0
,,,1.0,5.0,3.0
Alpha Centauri,,,0.0,2.0,2.0
DP Leo,,,0.0,1.0,2.0
,,17.25,0.0,1.0,2.0
,,24.14,0.0,1.0,2.0
,,9.78,0.0,1.0,2.0
EPIC 201549860,,21.21,0.0,2.0,2.0
,,12.3,0.0,1.0,2.0
EPIC 201637175,227,1.9,0.0,1.0,2.0
,,12.15,0.0,1.0,2.0
,,2.46,0.0,1.0,2.0
WDS J15576+2653,10,2.00,0.0,1.0,2.0
Epsilon Indi,88,403.10,1.0,1.0,3.0
Epsilon Indi B,,,0.0,0.0,2.0
,,,1.0,0.0,3.0
,,,0.0,0.0,2.0
FL Lyr,,,0.0,1.0,2.0
MAM 1,337.91,20407.6,1.0,1.0,3.0
SHY 106,187.88,7062.7,0.0,1.0,2.0
FW Tau,3.4,0.0754,0.0,1.0,2.0
gamma Cephei,,,0.0,1.0,2.0
Gamma Leonis,127,4.60,0.0,1.0,2.0
GJ 229,168,6.80,0.0,2.0,2.0
,,,0.0,2.0,2.0
GJ 725,,,0.0,1.0,2.0
,,,0.0,1.0,2.0
,,,0.0,0.0,2.0
,,,1.0,0.0,3.0
,,,0.0,0.0,2.0
Gliese 15,,,0.0,2.0,2.0
,355,3.90,0.0,1.0,2.0
,,,0.0,0.0,2.0
,142,32.70,1.0,7.0,3.0
,,,0.0,0.0,2.0
,135,50.0,0.0,4.0,2.0
,234,179,0.0,2.0,2.0
Gliese 86,,,0.0,1.0,2.0
HAT-P-14,264.10,0.8576,0.0,1.0,2.0
HAT-P-16,153.83,0.6916,0.0,1.0,2.0
HAT-P-24,170.872,4.9442,0.0,1.0,2.0
HAT-P-30,4.206,3.8366,0.0,1.0,2.0
HAT-P-32,110.624,2.9355,0.0,1.0,2.0
