discoverymethod,description,periastrontime,discoveryyear,eccentricity,semimajoraxis,period,name,mass,periastron,list,lastupdate
RV,11 Com b is a brown dwarf-mass companion to the intermediate-mass star 11 Comae Berenices.,2452899.6,2008,0.231,1.29,326.03,11 Com b,19.4,94.8,Confirmed planets,15/09/20
RV,11 Ursae Minoris is a star located in the constellation Ursa Minor and also named Pherkard or Pherkad Minor.,2452861.04,2009,0.08,1.54,516.22,11 UMi b,11.20,117.63,Confirmed planets,15/09/20
RV,14 Andromedae is an evolved star in the constellation of Andromeda. It was formerly an A-type dwarf.,2452861.4,2008,0,0.83,185.84,14 And b,4.8,0,Confirmed planets,15/09/20
RV,"The star 14 Herculis is only 59 light years away in the constellation Hercules. However, because it is an orange dwarf star it can not be seen with the naked eye. There is only one confirmed planet in the system, but a dynamical analysis suggests that they might be two planets locked in a 4:1 mean motion resonance.",,2002,0.359,2.864,1766,14 Her b,4.975,22.230,Confirmed planets,15/09/21
RV,"14 Her c is the second companion in the system. Its properties are not yet well-constrained, though both radial velocity and direct imaging results give some constraints on its properties.",,2006,0.184,9.037,9886,14 Her c,7.679,189.076,Controversial,15/09/21
RV,16 Cygni is a hierarchical triple system. The star is in the Kepler field of view. In an active search for extra-terrestrial intelligence a radio message has been sent to this system on May 24 1999. It will reach the system in 2069.,2450539.3,1996,0.689,1.72,799.5,16 Cygni B b,1.77,83.4,Confirmed planets,15/09/22
RV,18 Delphini is a star in the constellation of Delphinus.,2451672,2008,0.08,2.6,993.3,18 Del b,10.3,166.1,Confirmed planets,15/09/23
imaging,"1RXS J160929.1-210524 is a 5 million year old pre-main sequence star in the constellation of Scorpius. The observed planet has a large separation, posing problems for current formation scenarios. Two possibilities are that the planet formed by gravitational instability or migrated outwards. There is evidence that 1RXS 1609 b is surrounded by a dust disc inclined to the line of sight.",,2008,,,,1RXS1609 b,,,Confirmed planets,15/07/29
transit,"The light curve of 1SWASP J140747.93-394542.6 underwent a complex series of deep eclipses that lasted 56 days in April 2007. This light curve is interpreted as the transit of a giant ring system that is filling up a fraction of the Hill sphere of an unseen secondary companion, J1407b. The object is currently listed as controversial as various inconsistencies arise in current models and it is not clear that the object really is a planet.",,2007,0.8,,10044,1SWASP J1407 b,14.0,,Controversial,15/02/21
RV,This planet was discovered by Takarada et al. 2018. This was a ground based discovery. The parameters listed here are those reported by Takarada et al. 2018 and were imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,2018,0.042000,0.190000,30.35060000,24 Boo b,0.91000,210.0000,Confirmed planets,18/04/26
RV,24 Sextantis is located in the constellation of Sextans. The two planets in the system are in a 2:1 mean motion resonance.,2454762,2010,0.09,1.333,452.8,24 Sex b,1.99,9.2,Confirmed planets,15/09/23
RV,24 Sextantis is located in the constellation of Sextans. The two planets in the system are in a 2:1 mean motion resonance.,2454930,2010,0.29,2.08,883.0,24 Sex c,0.86,220.5,Confirmed planets,15/09/23
imaging,The parameters listed here were imported into the Open Exoplanet Catalogue from the exoplanet.eu website.,,2021,,118.0,,2M0437 b,4.0,,Confirmed planets,21/10/19
imaging,"2M 044144 b is the lowest-mass member of the quadruple system 2M0441+2301. Despite having a mass below the deuterium-fusion limit, the low mass ratio between 2M 044144 A and B suggests it likely formed by turbulent fragmentation rather than core accretion.",,2010,,,,2M 044144 b,9.8,,Confirmed planets,15/09/12
imaging,,,2010,0.487,2.897,4640,2M 0746+20 b,30,,Confirmed planets,12/01/20
imaging,"2M1207 might be the first directly imaged extrasolar planet. However, due to its high mass it might also classify as a brown dwarf.",,2004,,,,2M1207 b,5,,Confirmed planets,10/12/28
RV,The parameters listed here were imported into the Open Exoplanet Catalogue from the exoplanet.eu website.,,2021,0.0,,35.08,2M 1252+2735 b,6.88,,Confirmed planets,22/02/08
RV,The parameters listed here were imported into the Open Exoplanet Catalogue from the exoplanet.eu website.,,2021,0.681,,24.31,2M 1253+2734 b,8.3,,Confirmed planets,22/02/08
RV,The parameters listed here were imported into the Open Exoplanet Catalogue from the exoplanet.eu website.,,2021,0.598,,11.88,2M 1258+2630 b,3.4,,Confirmed planets,22/02/08
timing,2M 1938+4603 is an eclipsing post-common envelope binary in the Kepler field. Variations in the timing of the eclipses of the binary star have been used to infer the presence of a giant planet in a circumbinary orbit.,,2015,,0.92,416,2M 1938+4603 b,1.9,,Confirmed planets,15/06/11
imaging,,,2010,0.26,3.53,7340,2M 2140+16 b,20,,Confirmed planets,12/01/20
imaging,,,2010,0.0,4.48,8686,2M 2206-20 b,30,,Confirmed planets,12/01/20
imaging,"2MASS 0122-2439 B is an L-dwarf companion to the star 2MASS J01225093-2439505. The age and luminosity of the object gives a dual-valued prediction for the mass, either in the range 12–13 or 22–27 Jupiter masses, assuming the system is a member of the AB Doradus moving group.",,2013,,,,2MASS 0122-2439 B,,,Confirmed planets,15/04/20
imaging,The parameters listed here were imported into the Open Exoplanet Catalogue from the exoplanet.eu website.,,2022,,,,2MASS J0030-1450,10.0,,Confirmed planets,22/01/23
imaging,This planet was discovered by Delorme et al. 2013. This was a ground based discovery. The parameters listed here are those reported by Delorme et al. 2013 and were imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,2013,,84.000000,,2MASS J01033563-5515561 A b,13.00000,,Confirmed planets,20/09/03
imaging,2MASS J0219-3925 B is a low-mass L-type companion to an M-dwarf in the Tucana-Horologium association. The mass is close to the deuterium-burning limit.,,2015,,,,2MASS J0219-3925 B,13.9,,Confirmed planets,15/07/24
imaging,"2MASS J0249-0557 c is a wide-separation, planetary-mass companion to a low-mass binary system of brown dwarfs in the Beta Pictoris Moving Group. The object appears to be a near-twin of the planet Beta Pictoris b.",,2018,,,,2MASS J02495639-0557352 c,11.6,,Confirmed planets,18/07/28
imaging,The parameters listed here were imported into the Open Exoplanet Catalogue from the exoplanet.eu website.,,2019,,,,2MASS J0459-2853,8.0,,Confirmed planets,22/01/23
transit,The parameters listed here were imported into the Open Exoplanet Catalogue from the exoplanet.eu website.,,2021,,,3.0525,2MASS J06023447-0034369 b,1.1,,Confirmed planets,21/09/24
imaging,The parameters listed here were imported into the Open Exoplanet Catalogue from the exoplanet.eu website.,,2022,,,,2MASS J0642+4101,12.0,,Confirmed planets,22/01/23
imaging,The parameters listed here were imported into the Open Exoplanet Catalogue from the exoplanet.eu website.,,2022,,,,2MASS J0718-6415,3.0,,Confirmed planets,22/01/23
imaging,The parameters listed here were imported into the Open Exoplanet Catalogue from the exoplanet.eu website.,,2022,,,,2MASS J0809+4434,13.0,,Confirmed planets,22/01/23
imaging,The parameters listed here were imported into the Open Exoplanet Catalogue from the exoplanet.eu website.,,2022,,,,2MASS J0951-8023,15.0,,Confirmed planets,22/01/23
imaging,The parameters listed here were imported into the Open Exoplanet Catalogue from the exoplanet.eu website.,,2017,,,32850.0,2MASS J1119-1137 b,3.7,,Confirmed planets,21/09/08
transit,The parameters listed here were imported into the Open Exoplanet Catalogue from the exoplanet.eu website.,,2017,,0.0678,6.8430341,KOI-7368 b,,,Confirmed planets,22/05/04
imaging,The parameters listed here were imported into the Open Exoplanet Catalogue from the exoplanet.eu website.,,2022,,,,2MASS J2002-0521,13.0,,Confirmed planets,22/01/23
imaging,The parameters listed here were imported into the Open Exoplanet Catalogue from the exoplanet.eu website.,,2022,,,,2MASS J2117-2940,7.0,,Confirmed planets,22/01/23
imaging,The parameters listed here were imported into the Open Exoplanet Catalogue from the exoplanet.eu website.,,2022,,,,2MASS J2206+3301,8.0,,Confirmed planets,22/01/23
imaging,This planet was discovered by Bowler et al. 2017. This was a ground based discovery. The parameters listed here are those reported by Bowler et al. 2017 and were imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,2016,,230.000000,,2MASS J22362452+4751425 b,12.50000,,Confirmed planets,16/11/10
RV,,245322.1,2009,0.18,1.01,345.4,30 Ari B b,6.6,337,Confirmed planets,16/01/10
RV,Data for this planet was imported from the exoplanet.eu database.,,2016,0.03,1.82,825.9,38 Vir b,4.51,,Confirmed planets,17/02/20
RV,42 Draconis is a metal poor star.,2452757.4,2009,0.38,1.19,479.1,42 Dra b,3.88,218.7,Confirmed planets,15/09/24
RV,47 Ursae Majoris is a solar analog. It hosts at least three planets. The habitable zone could host a terrestrial planet in a stable orbit. Two METI messages called 'Teen Age Message' and 'Cosmic Call 2' have been sent to 47 Ursae Majoris. They will reach the planets in 2047 and 2059.,2451888,1996,0.032,2.100,1078,47 UMa b,2.53,334,Confirmed planets,15/09/24
RV,47 Ursae Majoris is a solar analog. It hosts at least three planets. The habitable zone could host a terrestrial planet in a stable orbit. Two METI messages called 'Teen Age Message' and 'Cosmic Call 2' have been sent to 47 Ursae Majoris. They will reach the planets in 2047 and 2059.,2452441,2001,0.098,3.6,2391,47 UMa c,0.540,295,Confirmed planets,15/09/24
RV,47 Ursae Majoris is a solar analog. It hosts at least three planets. The habitable zone could host a terrestrial planet in a stable orbit. Two METI messages called 'Teen Age Message' and 'Cosmic Call 2' have been sent to 47 Ursae Majoris. They will reach the planets in 2047 and 2059.,2451736,2010,0.16,11.6,14002,47 UMa d,1.64,110,Confirmed planets,15/09/24
RV,"4 Ursae Majoris is also known as Muscida, a name that is shared with 3 Ursae Majoris and Omicron Ursae Majoris.",2452987.3936,2007,0.432,0.87,269.3,4 UMa b,7.1,23.81,Confirmed planets,15/09/20
imaging,51 Eri b is a directly-imaged exoplanet located at a projected separation of 13.2 AU from its star. The system also exhibits an infrared excess indicating the presence of debris belts at around 5.5 AU and 82 AU from the star. It is a member of the Beta Pictoris moving group.,2456947,2015,0.21,14,15000,51 Eri b,2,90,Confirmed planets,15/08/14
RV,51 Pegasi is a Sun-like star in the constellation Pegasus. The planet is also called Bellerophon. The lower limit for the radius is given for the limit of a perfectly-reflecting Lambert sphere.,2456021.256,1995,0,0.052,4.231,51 Peg b,0.46,0,Confirmed planets,15/05/24
RV,55 Cancri is a binary system in the constellation Cancer. 55 Cnc b and c are in a near 1:3 resonance. A dynamical analysis shows that the system has to be almost coplanar in order to be stable for the age the system.,,1996,0.00,0.1134,14.6516,55 Cancri b,0.8036,-21.5,Confirmed planets,18/09/18
RV,55 Cancri is a binary system in the constellation Cancer. 55 Cnc b and c are in a near 1:3 resonance. A dynamical analysis shows that the system has to be almost coplanar in order to be stable for the age the system.,,2002,0.03,0.2373,44.3989,55 Cancri c,0.1611,2.4,Confirmed planets,18/09/18
RV,55 Cancri is a binary system in the constellation Cancer. 55 Cnc b and c are in a near 1:3 resonance. A dynamical analysis shows that the system has to be almost coplanar in order to be stable for the age the system.,,2002,0.13,5.957,5574.2,55 Cancri d,3.12,-69.1,Confirmed planets,18/09/18
transit,"55 Cancri e is a super-Earth which appears to exhibit extreme variations in brightness temperature. The cause of these variations is unknown but may be due to large-scale volcanic activity on the planet. The latest estimates of the planetary radius are compatible with a rocky composition, but a thick water envelope or a carbon-rich composition cannot be ruled out. The phase curve indicates that heat is being transported to the night side by an atmosphere, likely dominated by carbon monoxide or nitrogen.",,2004,0.05,0.01544,0.7365474,55 Cancri e,0.0251,86.0,Confirmed planets,18/09/18
RV,55 Cancri is a binary system in the constellation Cancer. 55 Cnc b and c are in a near 1:3 resonance. A dynamical analysis shows that the system has to be almost coplanar in order to be stable for the age the system.,,2007,0.08,0.7708,259.88,55 Cancri f,0.1503,-97.6,Confirmed planets,18/09/18
RV,The three known planets orbiting 61 Virginis were discovered with 4.6 years of radial velocity measurements taken with Keck/HIRES and the Anglo-Australian Telescope. The system also contains a debris disc at 96 – 195 AU from the star.,,2009,0.12,0.050201,4.2150,61 Vir b,0.016,105,Confirmed planets,15/11/02
RV,The three known planets orbiting 61 Virginis were discovered with 4.6 years of radial velocity measurements taken with Keck/HIRES and the Anglo-Australian Telescope. The system also contains a debris disc at 96 – 195 AU from the star.,,2009,0.14,0.2175,38.021,61 Vir c,0.0573,341,Confirmed planets,15/11/02
RV,The three known planets orbiting 61 Virginis were discovered with 4.6 years of radial velocity measurements taken with Keck/HIRES and the Anglo-Australian Telescope. The system also contains a debris disc at 96 – 195 AU from the star.,,2009,0.35,0.476,123.01,61 Vir d,0.0721,314,Confirmed planets,15/11/02
RV,"The star 6 Lyncis is a subgiant and 15 times more luminous than our Sun. The astrometric signature of the planet gives a best-fit inclination of 2 degrees, which would imply the object is a brown dwarf with 64 times the mass of Jupiter. Nevertheless, the error bars are large and allow for masses between 2.2 and 128.7 Jupiter masses, a range that incorporates both planetary and stellar masses.",2454024.5,2008,0.059,2.18,874.774,6 Lyn b,2.21,314.9,Confirmed planets,15/09/20
RV,The star 70 Virginis is located in the constellation Virgo and starting to evolve into the subgiant phase. It has a dust disc at 3.4 AU.,2447239.7091,1996,0.399,0.481,116.6926,70 Vir b,7.4,,Confirmed planets,15/04/15
RV,Discovered with precise Doppler measurements at Okayama Astrophysical Observatory.,2452213,2012,0.117,2.1,691.9,75 Cet b,3.0,165,Confirmed planets,15/11/02
