magK,magB,metallicity,magH,name,mass,magV,spectraltype,radius,magJ,temperature,planets
2.282,5.74,-0.35,2.484,11 Com,2.7,4.74,G8 III,19,2.943,4742,1.0
1.939,6.415,0.04,2.091,11 UMi,1.80,5.024,K4III,24.08,2.876,4340,1.0
2.331,6.24,-0.24,2.608,14 And,2.2,5.22,K0III,11,3.019,4813,1.0
4.714,7.57,0.43,4.803,14 Her,1.0,6.67,K0 V,0.708,5.158,5311.0,2.0
4.43,6.59,0.096,4.72,16 Cygni A,1.11,5.95,G2V,1.243,5.09,5825,0.0
,,,,16 Cygni C,0.17,13,M,,,,0.0
4.65,6.86,0.052,4.70,16 Cygni B,1.07,6.20,G2V,1.127,4.99,5750,1.0
3.366,6.440,-0.052,3.440,18 Del,2.3,5.522,G6III,8.5,4.032,4979,1.0
8.891,,,9.109,1RXS1609,0.85,,M0V,1.35,9.764,4060,1.0
,,,,1SWASP J1407,,,K5,0.99,,,1.0
3.159,,-0.770,3.340,24 Boo,0.99,5.580,G3IV,10.64,3.845,4893.00,1.0
4.285,7.400,-0.03,4.486,24 Sex,1.54,7.38,G5,4.9,5.292,5098,2.0
,,0.01,,2M0437,0.0165,15.7,,0.84,,3100.0,1.0
9.94,,,10.19,2M0441+2301 Aa,0.2,,M4.5,1.1,10.77,3400,0.0
12.71,,,13.30,2M0441+2301 Ab,0.033,,M7±1,,13.73,2800,0.0
13.46,,,14.03,2M 044144,0.018,,M7,,,2100,1.0
,,,,2M 0746+20,0.12,17.7,L0/L1.5,0.089,,2205.0,1.0
11.945,,,12.388,2M1207,0.025,20.15,M8,,12.995,2550.0,1.0
,,,,2M 1252+2735,,12.0,G8IV,,,,1.0
,,,,2M 1253+2734,,,,,,,1.0
,,,,2M 1258+2630,,,,,,,1.0
12.955,12.17,,12.889,2M 1938+4603 A,0.48,12.69,sdBV,0.223,12.757,29564,0.0
,,,,2M 1938+4603 B,0.12,,M,0.158,,,0.0
,,,,2M 2140+16,0.08,,M8.5/L2,0.1,,2300.0,1.0
,,,,2M 2206-20,0.13,19.788,M8,0.11,,2350.0,1.0
9.17,,,9.47,2MASS J01225093-2439505 A,0.40,14.24,M3.5,,10.02,,1.0
,,,,2MASS J0030-1450,,,,,,,1.0
6.440,,,6.780,2MASS J01033563-5515561 A,0.19,,M5.5/M6,,7.360,,1.0
10.444,18.50,,10.855,2MASS J0219-3925,0.108,,M6γ,0.281,11.321,3064,1.0
11.73,,,,2MASS J02495639-0557352 A,0.0458,,M6,,,,0.0
11.85,,,,2MASS J02495639-0557352 B,0.0420,,M6,,,,0.0
,,,,2MASS J0459-2853,,,,,,,1.0
,,,,2MASS J06023447-0034369,,,,,,,1.0
,,,,2MASS J0642+4101,,,,,,,1.0
,,,,2MASS J0718-6415,,,,,,,1.0
,,,,2MASS J0809+4434,,,,,,,1.0
,,,,2MASS J0951-8023,,,,,,,1.0
14.62,,,,2MASS J1119-1137,,,L7,,,,1.0
10.794,,0.14,10.884,2MASS J19354742+4803549,0.883,,,0.827,11.296,5225.0,1.0
,,,,2MASS J2002-0521,,,,,,,1.0
,,,,2MASS J2117-2940,,,,,,,1.0
,,,,2MASS J2206+3301,,,,,,,1.0
9.148,,,9.338,2MASS J22362452+4751425,0.60,12.510,K7V,,9.975,4045.00,1.0
5.479,6.86,,5.580,30 Ari Aa,1.31,6.48,F5V,1.37,5.681,6462,0.0
,,,,30 Ari Ab,0.14,,,,,,0.0
5.90,7.59,0.07,5.908,30 Ari B,1.16,7.091,F8V,1.13,6.080,6424,1.0
8.74,,,,30 Ari C,0.50,,M1V,,9.57,,0.0
,,0.07,,38 Vir,1.18,6.11,F6 V,1.45,,6557.0,1.0
2.085,6.020,-0.46,2.197,42 Dra,0.98,4.833,K1.5III,22.03,2.949,4200,1.0
3.75,5.66,-0.019,3.736,47 UMa,1.063,5.04,G0V,1.24,3.960,5818.7,3.0
1.88,5.787,-0.25,1.94,4 UMa,1.234,5.787,K1III,18.11,2.48,4415,1.0
4.56,5.485,-0.027,4.60,51 Eri,1.75,5.223,F0IV,,4.68,,1.0
,,,,GJ 3305 A,0.67,7.70,M0,,,,0.0
,,,,GJ 3305 B,0.44,10.90,M3,,,,0.0
3.911,6.16,0.2,4.23,51 Peg,1.04,5.49,G2 IV,1.266,4.66,5793.0,1.0
4.015,6.82,0.35,4.265,55 Cancri A,0.905,5.95,K0IV-V,0.943,4.768,5172,5.0
7.666,,,7.933,55 Cancri B,0.2,13,M4,,8.560,,0.0
,,,,61 Cygni A,0.70,7.49,K5.0V,,,,0.0
,,,,61 Cygni B,0.63,8.31,K7.0V,,,,0.0
2.956,5.440,0.05,2.974,61 Vir,0.95,4.740,G5V,0.963,3.334,5571,3.0
3.701,6.82,-0.13,3.825,6 Lyn,1.82,5.86,K0IV,5.2,4.272,4978.0,1.0
3.24,5.680,-0.09,3.46,70 Vir,1.09,4.970,G4 V,1.94,3.80,5439,1.0
3.067,6.373,0.00,3.186,75 Cet,2.49,5.364,G3III:,10.5,3.685,4846,1.0
1.564,,0.210,1.679,7 CMa,1.34,3.920,K1III,4.87,2.173,4826.00,2.0
3.266,6.667,-0.06,3.386,81 Cet,2.4,5.65,G5III,11,3.940,4790.0,1.0
4.747,7.29,,4.937,83 Leonis A,0.995,6.50,K0IV,0.93,5.165,5509,0.0
4.747,7.29,0.3,4.937,83 Leonis B,0.85,7.38,K2V,0.78,5.165,4929,2.0
4.515,7.817,-0.03,4.749,8 Ursae Minoris,1.8,6.843,K0,9.9,5.069,4847.4,1.0
1.746,5.32,-0.03,1.886,91 Aquarii A,1.4,4.24,K0 III,11.0,2.400,4665,1.0
,10.9,,,91 Aquarii B,0.78,9.9,K3V,,,,0.0
,,,,91 Aquarii C,0.73,10.1,K,,,,0.0
,,,,AB Aur,2.4,7.06,A0V,,,,1.0
6.981,10.01,-0.64,7.088,AB Pic,,9.16,K2 V,,7.576,4875.0,1.0
,,,,AD Leonis,0.4,10.87,M3.0V,,,,0.0
,3.16,-0.09,,alf Ari,1.5,2.01,K2III,13.9,0.06,4553,1.0
,,-0.27,,alf Tau,1.13,0.99,K5 III,45.1,,4055,1.0
,,,,alf Tau B,,13.6,M2V,,,,0.0
,,,,Proxima Centauri,0.120,,M5.5V,0.141,,2900,3.0
-1.49,0.72,0.20,-1.38,Alpha Centauri A,1.100,0.01,G2 V,1.227,-1.15,5790,0.0
-0.60,2.21,0.23,-0.49,Alpha Centauri B,0.907,1.33,K1 V,0.865,-0.01,5260,2.0
4.529,,,4.831,AU Mic,0.50,8.810,M1VE,0.75,5.436,3700.00,1.0
,,,,Barnard's Star,0.144,13.22,M4.0Ve,,,,0.0
,,0.1,,BD+02.3313,1.03,9.45,K2,8.47,,4425.0,1.0
6.021,10.79,-0.71,6.186,BD+03 2562,1.14,9.58,,32.35,6.960,4095.0,1.0
7.323,10.94,-0.07,7.498,BD-08 2823,0.74,9.86,K3V,,7.960,4746,2.0
8.124,10.88,0.382,8.30,BD-10 3166,0.85,10.01,K3.0 V,0.81,8.61,5393,1.0
6.867,11.21,-0.350,7.031,BD-11 4672,0.65,9.990,K7V,0.64,7.651,4550.00,2.0
7.336,10.66,0.10,7.455,BD+14 4559,0.86,9.66,K2V,,7.882,5008,1.0
7.718,11.3,-0.22,7.862,BD+15 2375,1.08,10.31,,8.95,8.372,4649,1.0
6.525,10.12,0.28,6.664,BD+15 2940,1.1,9.05,K0,14.7,7.154,4796,1.0
6.914,10.77,-0.03,7.027,BD-17 63,0.74,9.62,K5V,0.69,7.574,4714,1.0
6.879,11.08,0.30,7.032,BD+20 1790,0.63,10.001,K5Ve,,7.643,4410,1.0
6.420,10.99,-1.00,6.606,BD+20 2457,2.8,9.74,K2II,,7.299,4137,2.0
6.169,10.72,-0.46,6.337,BD+20 274,0.8,9.367,K5 III,17.3,7.003,4296,1.0
9.368,11.728,-0.15,9.432,BD+20 594,0.961,11.038,G,0.928,9.770,5766,1.0
7.336,10.87,0.02,7.437,BD+26 1888,0.76,9.76,K7,,7.912,4748,1.0
7.5570000,,-0.090,7.6450000,BD+45 564,0.81,9.6700000,K1,0.81,8.0630000,5004.00,1.0
5.904,10.35,-0.20,6.077,BD+48 738,0.74,9.139,K0III,11,6.704,4414,1.0
5.645,,-0.130,5.791,BD+48 740,1.09,8.699,K3III,10.33,6.385,4534.00,1.0
6.571,10.51,-0.19,6.729,BD+49 828,1.52,9.38,K0,7.6,7.246,4943,1.0
7.3310000,,0.180,7.4430000,BD+55 362,0.91,9.3800000,K3,0.90,7.8260000,5012.00,1.0
,,,,BD+60 1417,1.0,,,0.797,,4993.0,1.0
6.7800000,,-0.090,6.8950000,BD+63 1405,0.82,8.9600000,K0,0.80,7.3030000,5000.00,1.0
0.14,5.000,-0.29,0.28,beta Cancri,1.7,3.520,K4III,47.2,1.06,4092.1,1.0
3.526,4.03,,3.544,beta Pic,1.76,3.850,A5V,,3.669,,2.0
,3.55,-0.27,,beta Ursae Minoris,1.4,2.08,K4IIIvar,38.3,,4126,1.0
