distance,rightascension,name,constellation,declination,binaries,planets,stars
88.9,12 20 43.0255,11 Com,Coma Berenices,+17 47 34.3392,0.0,1.0,1.0
122.1,15 17 05.88899,11 UMi,Ursa Minor,+71 49 26.0466,0.0,1.0,1.0
79.2,23 31 17.41346,14 And,Andromeda,+39 14 10.3092,0.0,1.0,1.0
18.1,16 10 24.3152,14 Her,Hercules,+43 49 03.4987,0.0,2.0,1.0
21.146,19 41 48.95343,16 Cygni,Cygnus,+50 31 30.2153,2.0,1.0,3.0
75.3,20 58 25.93397,18 Del,Delphinus,+10 50 21.4289,0.0,1.0,1.0
145,16 09 30,1RXS1609,Scorpius,-21 04 58,0.0,1.0,1.0
133,14 07 47.93,1SWASP J1407,Centaurus,-39 45 42.7,0.0,1.0,1.0
96.25,14 28 37.8130,24 Boo,Boötes,+49 50 41.4610,0.0,1.0,1.0
74.8,10 23 28.3693,24 Sex,Sextans,-00 54 08.0771,0.0,2.0,1.0
128.1,04 37 21.73,2M0437,Taurus,+26 51 01.07,0.0,1.0,1.0
145,04 41 45.652,2M 044144,Taurus,+23 01 58.07,2.0,1.0,3.0
12.21,07 46 42.562,2M 0746+20,Gemini,+20 00 32.18,0.0,1.0,1.0
59,12 07 33.4676,2M1207,Centaurus,-39 32 54.0160,0.0,1.0,1.0
197.2,12 52 51.00,2M 1252+2735,Coma Berenices,+27 35 13.00,0.0,1.0,1.0
,12 53 01.00,2M 1253+2734,Coma Berenices,+27 34 19.00,0.0,1.0,1.0
,12 58 23.00,2M 1258+2630,Coma Berenices,+26 30 09.00,0.0,1.0,1.0
400.8,19 38 32.6,2M 1938+4603,Cygnus,+46 03 59,1.0,1.0,2.0
25,21 40 29,2M 2140+16,Pegasus,+16 25 18,0.0,1.0,1.0
26.67,22 06 22.802,2M 2206-20,Aquarius,-20 47 05.90,0.0,1.0,1.0
36,01 22 50.938,2MASS 0122-2439,Cetus,-24 39 50.65,0.0,1.0,1.0
26.7,00 30 30.13,2MASS J0030-1450,Cetus,-14 50 33.40,0.0,1.0,1.0
47.20,01 03 36,2MASS J01033563-5515561 A,Phoenix,-55 15 56,0.0,1.0,1.0
39.4,02 19 22.10,2MASS J0219-3925,Phoenix,-39 25 22.5,0.0,1.0,1.0
48.9,02 49 56.3884942122,2MASS J02495639-0557352,Eridanus,-05 57 35.410808361,1.0,1.0,2.0
38.0,00 59 00.35,2MASS J0459-2853,Sculptor,-28 53 39.65,0.0,1.0,1.0
,06 02 34.48,2MASS J06023447-0034369,Orion,-00 34 36.92,0.0,1.0,1.0
16.1,06 42 05.59,2MASS J0642+4101,Auriga,+41 01 60.00,0.0,1.0,1.0
9.34,07 18 08.71,2MASS J0718-6415,Volans,-64 15 31.09,0.0,1.0,1.0
25.0,08 09 59.04,2MASS J0809+4434,Lynx,+44 34 21.61,0.0,1.0,1.0
,09 51 26.90,2MASS J0951-8023,Chamaleon,-80 23 55.30,0.0,1.0,1.0
,11 19 32.54,2MASS J1119-1137,Crater,-11 37 46.70,0.0,1.0,1.0
,19 35 47.43,2MASS J19354742+4803549,Cygnus,+48 03 54.91,0.0,1.0,1.0
17.6316,20 02 50.71,2MASS J2002-0521,Aquila,-05 21 52.58,0.0,1.0,1.0
16.9,21 17 14.31,2MASS J2117-2940,Microscopium,-29 40 03.42,0.0,1.0,1.0
34.4,22 06 25.20,2MASS J2206+3301,Pegasus,+33 01 14.44,0.0,1.0,1.0
74.00,22 36 24.5254,2MASS J22362452+4751425,Lacerta,+47 51 42.5312,0.0,1.0,1.0
45.20,02 37 00.52363,30 Ari,Aries,+24 38 49.9957,3.0,1.0,4.0
33.3,12 53 11.1564,38 Vir,Virgo,-03 33 11.1481,0.0,1.0,1.0
96.5,18 25 59.13734,42 Dra,Draco,+65 33 48.5288,0.0,1.0,1.0
14.063,10 59 27.97282,47 UMa,Ursa Major,+40 25 48.9202,0.0,3.0,1.0
78.5,08 40 12.81767,4 UMa,Ursa Major,+64 19 40.5700,0.0,1.0,1.0
29.4,04 37 36.13234,51 Eri,Eridanus,-02 28 24.7749,2.0,1.0,3.0
14.7,22 57 27.9804,51 Peg,Pegasus,+20 46 07.7822,0.0,1.0,1.0
12.5901,08 52 35.8113282132,55 Cancri,Cancer,+28 19 50.956901366,1.0,5.0,2.0
3.4955011,21 06 53.9,61 Cygni,Cygnus,+38 44 58,1.0,0.0,2.0
8.52,13 18 24.31427,61 Vir,Virgo,-18 18 40.3047,0.0,3.0,1.0
55.8,06 30 47.10797,6 Lyn,Lynx,+58 09 45.4809,0.0,1.0,1.0
18.1,13 28 25.80861,70 Vir,Virgo,+13 46 43.6386,0.0,1.0,1.0
81.4,02 32 09.42200,75 Cet,Cetus,-01 02 05.6236,0.0,1.0,1.0
19.75,06 36 41.0375,7 CMa,Canis Major,-19 15 21.1659,0.0,2.0,1.0
92.5,02 37 42.80105,81 Cet,Cetus,-03 23 46.2201,0.0,1.0,1.0
17.79,11 26 45.32180,83 Leonis,Leo,+03 00 47.1551,1.0,2.0,2.0
159.1,14 56 48.3536,8 Ursae Minoris,Ursa Minor,+74 54 03.3212,0.0,1.0,1.0
45.93,23 15 53.49482,91 Aquarii,Aquarius,-09 05 15.8546,2.0,1.0,3.0
144.0,04 55 46.00,AB Aur,Auriga,+30 33 04.00,0.0,1.0,1.0
45.5,06 19 12.9129,AB Pic,Pictor,-58 03 15.5248,0.0,1.0,1.0
4.9660227,10 19 36.2808,AD Leonis,Leo,+19 52 10,0.0,0.0,1.0
20.18,02 07 10.40570,alf Ari,Aries,+23 27 44.7032,0.0,1.0,1.0
20.43,04 35 55.20,alf Tau,Taurus,+16 30 35.1,1.0,1.0,2.0
